community_id,community_name,community_aliases,community_type,local_govt_council,ward,land_council,electorate,ntg_region,population_count,population_source,latitude,longitude,bushtel_url
24,UTILY,"AUTILLY,UTILI",Family Outstation,MACDONNELL,LURITJA PINTUBI,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,8,Homelands Service Provider Report 2023,-23.48831,131.87356,https://bushtel.nt.gov.au/profile/24
815,WADA WADALLA,"BLACKFELLOW CREEK,WADA WADALA",Family Outstation,ROPER GULF,SOUTH WEST GULF,NORTHERN LAND COUNCIL,BARKLY,BIG RIVERS,3,Homelands Service Provider Report 2023,-15.92948,136.42886,https://bushtel.nt.gov.au/profile/815
214,WADA WARRA,"BING BONG,BONE LAGOON,WADA WARA,WARRANBARRU ASSOC,WURRUNBURRA ASSOC",Family Outstation,ROPER GULF,SOUTH WEST GULF,NORTHERN LAND COUNCIL,BARKLY,BIG RIVERS,17,Homelands Service Provider Report 2023,-15.74902,136.25224,https://bushtel.nt.gov.au/profile/214
381,WAIDABOONAR,"MT. BORRADAILE,MUDGIGARDENT,MUDJEEGARDART,MUDJIGARDART,WAIDABONOOR",Family Outstation,WEST ARNHEM,GUNBALANYA,NORTHERN LAND COUNCIL,ARAFURA,TOP END,,Not recorded,-11.93822,132.78225,https://bushtel.nt.gov.au/profile/381
14188734,WAJU,NEW WAJU,Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,,Not recorded,-25.99241,133.46187,https://bushtel.nt.gov.au/profile/14188734
908,WAKURLPU,WAUCHOPE,Family Outstation,BARKLY,ALYAWARR,CENTRAL LAND COUNCIL,BARKLY,BARKLY,10,Homelands Service Provider Report 2023,-20.63229,134.21688,https://bushtel.nt.gov.au/profile/908
983,WALANGURRMINY,FINNISS RIVER,Family Outstation,UN-INCORPORATED (COX-DALY),Not recorded,NORTHERN LAND COUNCIL,DALY,TOP END,11,Homelands Service Provider Report 2023,-12.97482,130.77614,https://bushtel.nt.gov.au/profile/983
556,WALDNARR,"HARRIS CREEK,WALDARR,WALDHARR",Family Outstation,ROPER GULF,NUMBULWAR NUMBURINDI,NORTHERN LAND COUNCIL,ARNHEM,BIG RIVERS,10,Homelands Service Provider Report 2023,-13.76563,135.80531,https://bushtel.nt.gov.au/profile/556
291,WALKA,"BARGE LANDING,WALKAA",Family Outstation,WEST ARNHEM,BARRAH,NORTHERN LAND COUNCIL,ARAFURA,TOP END,,Not recorded,-11.17957,132.58843,https://bushtel.nt.gov.au/profile/291
720,WALKABOUT BORE,"JACK KENNY'S CAMP,MPWELARRE",Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,23,Homelands Service Provider Report 2023,-24.38261,133.81687,https://bushtel.nt.gov.au/profile/720
750,WALKALBA,"ROCK HILL,WAKALBA,WAKALPA,WAKURLPA,WALKURBLA",Family Outstation,CENTRAL DESERT,SOUTHERN TANAMI,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-22.16249,131.81991,https://bushtel.nt.gov.au/profile/750
24903,WALLACES LAGOON,No aliases recorded with NTG DIPL,Family Outstation,ROPER GULF,SOUTH WEST GULF,NORTHERN LAND COUNCIL,BARKLY,BIG RIVERS,3,Homelands Service Provider Report 2023,-16.12267,136.6356,https://bushtel.nt.gov.au/profile/24903
748,WALU,TJILKAMATA,Family Outstation,MACDONNELL,IYARRKA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-24.73711,129.52559,https://bushtel.nt.gov.au/profile/748
176,WALYTJATJATA,No aliases recorded with NTG DIPL,Family Outstation,MACDONNELL,IYARRKA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-25.97667,129.46583,https://bushtel.nt.gov.au/profile/176
428,WAMINARI,"WAMANARI,WAMINARA,WAMINARRA BAY",Family Outstation,WEST ARNHEM,BARRAH,NORTHERN LAND COUNCIL,ARAFURA,TOP END,,Not recorded,-11.76861,133.39754,https://bushtel.nt.gov.au/profile/428
890,WANAKUTJA,No aliases recorded with NTG DIPL,Family Outstation,WEST ARNHEM,BARRAH,NORTHERN LAND COUNCIL,ARAFURA,TOP END,,Not recorded,-11.10539,132.51106,https://bushtel.nt.gov.au/profile/890
119,WANARKULA,"MULGA PARK,MULGA PARK STATION,ROCKET BORE",Family Outstation,MACDONNELL,IYARRKA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-25.99663,131.58803,https://bushtel.nt.gov.au/profile/119
557,WANDAWUY,WULWULWUY,Family Outstation,EAST ARNHEM,GUMURR MIWATJ,NORTHERN LAND COUNCIL,ARNHEM,EAST ARNHEM,84,Homelands Service Provider Report 2023,-12.89147,136.35636,https://bushtel.nt.gov.au/profile/557
690,WANGALINJI,"CLEAN SKIN,WANGGULINJ,WANGULINJI",Family Outstation,BARKLY,KUWARRANGU,NORTHERN LAND COUNCIL,BARKLY,BARKLY,,Not recorded,-18.39639,137.46692,https://bushtel.nt.gov.au/profile/690
